ano,tipo_despesa,esfera_governo,valor_despesa
2024,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Central,0.0038499513358086555
2024,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Estaduais,0.008106344279591305
2024,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governos Municipais,0.006043872181842142
2024,"Poder execut., leg., assuntos fiscais, financeiros e externos",Coluna de Consolidação,-0.00044379037221505994
2024,"Poder execut., leg., assuntos fiscais, financeiros e externos",Governo Geral,0.01755637742502704
2010,Ajuda econômica externa,Governo Central,4.3725259918657126e-05
2010,Ajuda econômica externa,Governos Estaduais,0.0
2010,Ajuda econômica externa,Governos Municipais,1.6991000086467245e-06
2010,Ajuda econômica externa,Coluna de Consolidação,0.0
2010,Ajuda econômica externa,Governo Geral,4.542435992730385e-05
2011,Ajuda econômica externa,Governo Central,2.7917990709010967e-05
2011,Ajuda econômica externa,Governos Estaduais,0.0
2011,Ajuda econômica externa,Governos Municipais,1.2666440108496313e-06
2011,Ajuda econômica externa,Coluna de Consolidação,0.0
2011,Ajuda econômica externa,Governo Geral,2.9184634719860598e-05
2012,Ajuda econômica externa,Governo Central,4.899545322049456e-06
2012,Ajuda econômica externa,Governos Estaduais,0.0
2012,Ajuda econômica externa,Governos Municipais,1.2423588364547808e-06
2012,Ajuda econômica externa,Coluna de Consolidação,0.0
2012,Ajuda econômica externa,Governo Geral,6.1419041585042375e-06
2013,Ajuda econômica externa,Governo Central,5.721008675251073e-06
2013,Ajuda econômica externa,Governos Estaduais,0.0
2013,Ajuda econômica externa,Governos Municipais,1.0981615381436553e-06
2013,Ajuda econômica externa,Coluna de Consolidação,0.0
2013,Ajuda econômica externa,Governo Geral,6.819170213394728e-06
2014,Ajuda econômica externa,Governo Central,3.4608345144821666e-09
2014,Ajuda econômica externa,Governos Estaduais,0.0
2014,Ajuda econômica externa,Governos Municipais,9.963445157005419e-07
2014,Ajuda econômica externa,Coluna de Consolidação,0.0
2014,Ajuda econômica externa,Governo Geral,9.99805350215024e-07
2015,Ajuda econômica externa,Governo Central,0.0
2015,Ajuda econômica externa,Governos Estaduais,0.0
2015,Ajuda econômica externa,Governos Municipais,1.0952624038965276e-06
2015,Ajuda econômica externa,Coluna de Consolidação,0.0
2015,Ajuda econômica externa,Governo Geral,1.0952624038965276e-06
2016,Ajuda econômica externa,Governo Central,0.0
2016,Ajuda econômica externa,Governos Estaduais,0.0
2016,Ajuda econômica externa,Governos Municipais,1.0953327138040084e-06
2016,Ajuda econômica externa,Coluna de Consolidação,0.0
